a,sku,a,a,_store,_attribute_set,_type,category_ids,_product_websites,astro_rating,carat_weight,certification,j_colour,colour,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,cut,description,dimensions,dimensions_rounded,dimension_length,dimension_type,dispatch_days,enable_googlecheckout,gallery,gemstone,gem_composition,gem_optical_properties,gem_trade_name_config,gem_variety_config,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,metal,metal_config,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,origin,origin_region,page_layout,price,price_per_carat,price_suffix,product_type,quality_config_gem,required_options,return_policy,shape,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,treatment,updated_at,url_key,url_path,vendor,vendor_id,visibility,vtiger_id,vtiger_type,weight_carat,weight,weight_config_gem,weight_ratti,weight_ratti_type_price,google_product_taxonomy,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,weight_sort1,google_shopping_image,weight_grams,allow_checkout_discounts,offers,offer_type,name2,description2,gemstone2,name3,google_colour,age_group,gender,unique_product_identifier,j_center_gemstone,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,callfor,cutting_style,gemstone3,round_of_ratti,hsn_code,shipping_days,sku_for_vendor_product,invoice_id,stickers,classification,call_for_price_text,gemstone2_type,price_range,price_per_carat_range,gemstone_benifits_new,approx_weight_range,specific_gravity,refractive_index,catalog_uploaded_by,calibrated_size_range,product_category_type
133045,GP159106,/g/p/gp159106-1-220426.jpg,gp159106-220426.mp4,admin,Gemstones,simple,,base,,5.11,AGR Certified,Violet,Violet,,,22-Apr-26,,,,,Faceted,Natural Amethyst weighing 5.11 carat In Oval shape,13.87x9.68x6.68 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Amethyst,Natural,Not Applicable,Amethyst,,,0,,,,,,Unknown,,,Natural Amethyst - 5.11 Carats (GP159106) from Brazil,,,use config,use config,Amethyst - 5.11 Carats,22-Apr-26,,Block after Info Column,Brazil,,,5500,1076,,Single Stone,,0,10 Day Money-Back Returns*,Oval,Natural Amethyst weighing 5.11 carat (5.68 ratti) from Brazil,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,amethyst-gp159106,amethyst-gp159106,GP,133045,4,,Products,5.11,0.15,,5.68,5.68,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,511,,1.02,No,Express Dispatch,Loose Gemstone,5.11 ct Amethyst Natural Original Top Quality Lab Certified Gemstone of carat (5.68 ratti),"Buy Natural Amethyst - All 5.11 for sale online, weighing carats (roughly 5.68 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.11 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Amethyst - All,5.11 ct Certified Amethyst - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.68 ratti),Violet,adult,unisex,FALSE,,,,,,,,,,,,,Faceted,Amethyst - All-Faceted-Non Calibrated,5.5,71039949,0,GP159106,5835a,,Amethyst,,3 - Semi-Precious,5500,1000,,5,2.65,1.540 - 1.550,Umesh,,MP
133051,GP159107,/g/p/gp159107-1-220426.jpg,gp159107-220426.mp4,admin,Gemstones,simple,,base,,5.44,AGR Certified,Violet,Violet,,,22-Apr-26,,,,,Faceted,Natural Amethyst weighing 5.44 carat In Cushion shape,11.62x11.52x6.81 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Amethyst,Natural,Not Applicable,Amethyst,,,0,,,,,,Unknown,,,Natural Amethyst - 5.44 Carats (GP159107) from Brazil,,,use config,use config,Amethyst - 5.44 Carats,22-Apr-26,,Block after Info Column,Brazil,,,4350,800,,Single Stone,,0,10 Day Money-Back Returns*,Cushion,Natural Amethyst weighing 5.44 carat (6.04 ratti) from Brazil,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,amethyst-gp159107,amethyst-gp159107,GP,133051,4,,Products,5.44,0.15,,6.04,6.04,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,544,,1.09,No,Express Dispatch,Loose Gemstone,5.44 ct Amethyst Natural Original Top Quality Lab Certified Gemstone of carat (6.04 ratti),"Buy Natural Amethyst - All 5.44 for sale online, weighing carats (roughly 6.04 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.44 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Amethyst - All,5.44 ct Certified Amethyst - Unheated and Untreated Natural Top Quality Gemstone weighing carat (6.04 ratti),Violet,adult,unisex,FALSE,,,,,,,,,,,,,Faceted,Amethyst - All-Faceted-Non Calibrated,6,71039949,0,GP159107,5835b,,Amethyst,,3 - Semi-Precious,4000,500,,5.25,2.65,1.540 - 1.550,Umesh,,MP
133129,GP159113,/g/p/gp159113-1-220426.jpg,gp159113-220426.mp4,admin,Gemstones,simple,,base,,5.38,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.38 carat In Triangular shape,11.65x10.98x6.96 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.38 Carats (GP159113) from Italy,,,use config,use config,Red Coral - 5.38 Carats,22-Apr-26,,Block after Info Column,Italy,,,11900,2212,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.38 carat (5.98 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159113,red-coral-gp159113,GP,133129,4,,Products,5.38,0.15,,5.98,5.98,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,538,,1.08,No,Express Dispatch,Loose Gemstone,5.38 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (5.98 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.38 for sale online, weighing carats (roughly 5.98 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.38 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.38 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.98 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,5.75,96019040,0,GP159113,5843a,,Red Coral,,3 - Semi-Precious,11500,2000,,5.25,2.7,1.550 Spot,Umesh,,MP
133130,GP159114,/g/p/gp159114-1-220426.jpg,gp159114-220426.mp4,admin,Gemstones,simple,,base,,5.84,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.84 carat In Triangular shape,12.44x11.48x6.80 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.84 Carats (GP159114) from Italy,,,use config,use config,Red Coral - 5.84 Carats,22-Apr-26,,Block after Info Column,Italy,,,12900,2209,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.84 carat (6.49 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159114,red-coral-gp159114,GP,133130,4,,Products,5.84,0.15,,6.49,6.49,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,584,,1.17,No,Express Dispatch,Loose Gemstone,5.84 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (6.49 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.84 for sale online, weighing carats (roughly 6.49 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.84 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.84 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (6.49 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,6.25,96019040,0,GP159114,5843a,,Red Coral,,3 - Semi-Precious,12500,2000,,5.75,2.7,1.550 Spot,Umesh,,MP
133131,GP159115,/g/p/gp159115-1-220426.jpg,gp159115-220426.mp4,admin,Gemstones,simple,,base,,5.14,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.14 carat In Triangular shape,15.54x11.35x6.22 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.14 Carats (GP159115) from Italy,,,use config,use config,Red Coral - 5.14 Carats,22-Apr-26,,Block after Info Column,Italy,,,12100,2354,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.14 carat (5.71 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159115,red-coral-gp159115,GP,133131,4,,Products,5.14,0.15,,5.71,5.71,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,514,,1.03,No,Express Dispatch,Loose Gemstone,5.14 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (5.71 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.14 for sale online, weighing carats (roughly 5.71 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.14 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.14 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.71 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,5.5,96019040,0,GP159115,5843a,,Red Coral,,1 - Precious,12000,2000,provides balance and stability,5,2.7,1.550 Spot,Umesh,,MP
133132,GP159116,/g/p/gp159116-1-220426.jpg,gp159116-220426.mp4,admin,Gemstones,simple,,base,,5.11,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.11 carat In Triangular shape,12.13x10.98x6.36 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.11 Carats (GP159116) from Italy,,,use config,use config,Red Coral - 5.11 Carats,22-Apr-26,,Block after Info Column,Italy,,,12100,2368,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.11 carat (5.68 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159116,red-coral-gp159116,GP,133132,4,,Products,5.11,0.15,,5.68,5.68,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,511,,1.02,No,Express Dispatch,Loose Gemstone,5.11 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (5.68 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.11 for sale online, weighing carats (roughly 5.68 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.11 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.11 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.68 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,5.5,96019040,0,GP159116,5843a,,Red Coral,,1 - Precious,12000,2000,provides balance and stability,5,2.7,1.550 Spot,Umesh,,MP
133133,GP159117,/g/p/gp159117-1-220426.jpg,gp159117-220426.mp4,admin,Gemstones,simple,,base,,5.38,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.38 carat In Triangular shape,13.33x10.99x5.93 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.38 Carats (GP159117) from Italy,,,use config,use config,Red Coral - 5.38 Carats,22-Apr-26,,Block after Info Column,Italy,,,11900,2212,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.38 carat (5.98 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159117,red-coral-gp159117,GP,133133,4,,Products,5.38,0.15,,5.98,5.98,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,538,,1.08,No,Express Dispatch,Loose Gemstone,5.38 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (5.98 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.38 for sale online, weighing carats (roughly 5.98 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.38 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.38 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.98 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,5.75,96019040,0,GP159117,5843a,,Red Coral,,1 - Precious,11500,2000,provides balance and stability,5.25,2.7,1.550 Spot,Umesh,,MP
133134,GP159118,/g/p/gp159118-1-220426.jpg,gp159118-220426.mp4,admin,Gemstones,simple,,base,,5.79,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.79 carat In Triangular shape,13.11x10.98x6.37 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.79 Carats (GP159118) from Italy,,,use config,use config,Red Coral - 5.79 Carats,22-Apr-26,,Block after Info Column,Italy,,,12800,2211,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.79 carat (6.43 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159118,red-coral-gp159118,GP,133134,4,,Products,5.79,0.15,,6.43,6.43,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,579,,1.16,No,Express Dispatch,Loose Gemstone,5.79 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (6.43 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.79 for sale online, weighing carats (roughly 6.43 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.79 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.79 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (6.43 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,6.25,96019040,0,GP159118,5843a,,Red Coral,,1 - Precious,12500,2000,provides balance and stability,5.75,2.7,1.550 Spot,Umesh,,MP
133135,GP159119,/g/p/gp159119-1-220426.jpg,gp159119-220426.mp4,admin,Gemstones,simple,,base,,5.24,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.24 carat In Triangular shape,12.08x10.73x6.49 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.24 Carats (GP159119) from Italy,,,use config,use config,Red Coral - 5.24 Carats,22-Apr-26,,Block after Info Column,Italy,,,11600,2214,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.24 carat (5.82 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159119,red-coral-gp159119,GP,133135,4,,Products,5.24,0.15,,5.82,5.82,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,524,,1.05,No,Express Dispatch,Loose Gemstone,5.24 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (5.82 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.24 for sale online, weighing carats (roughly 5.82 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.24 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.24 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (5.82 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,5.75,96019040,0,GP159119,5843a,,Red Coral,,1 - Precious,11500,2000,provides balance and stability,5,2.7,1.550 Spot,Umesh,,MP
133136,GP159120,/g/p/gp159120-1-220426.jpg,gp159120-220426.mp4,admin,Gemstones,simple,,base,,5.96,AGR Certified,Red,Red,,,22-Apr-26,,,,,Cabochon,Natural Red Coral weighing 5.96 carat In Triangular shape,12.00x11.66x7.06 mm,,,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),,,Red Coral,Natural,Not Applicable,Red Coral,,,0,,,,,,Unknown,,,Natural Red Coral - 5.96 Carats (GP159120) from Italy,,,use config,use config,Red Coral - 5.96 Carats,22-Apr-26,,Block after Info Column,Italy,,,13100,2198,,Single Stone,,0,10 Day Money-Back Returns*,Triangular,Natural Red Coral weighing 5.96 carat (6.62 ratti) from Italy,,,,,,2,2,,,Unheated and Untreated (No Indications Observed),22-Apr-26,red-coral-gp159120,red-coral-gp159120,GP,133136,4,,Products,5.96,0.15,,6.62,6.62,Apparel & Accessories > Jewelry > Loose Stones,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,596,,1.19,No,Express Dispatch,Loose Gemstone,5.96 ct Red Coral Natural Original Top Quality Lab Certified Gemstone of carat (6.62 ratti),"Buy Natural Red Coral - Italy (Triangular) 5.96 for sale online, weighing carats (roughly 6.62 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (5.96 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",Red Coral - Italy (Triangular),5.96 ct Certified Red Coral - Unheated and Untreated Natural Top Quality Gemstone weighing carat (6.62 ratti),Red,adult,unisex,FALSE,,,,,,,,,,,,,Cabochon,Red Coral - Italy (Triangular)-Cabochon-Non Calibrated,6.5,96019040,0,GP159120,5843a,,Red Coral,,1 - Precious,13000,2000,provides balance and stability,5.75,2.7,1.550 Spot,Umesh,,MP
