attribute_set_id,sku,name,meta_title,url_key,sku_for_vendor_product,treatment,carat_weight,classification,cutting_style,dimensions,j_colour,name2,offers,vendor_id,weight_ratti,shipping_days,hsn_code,price,special_price,weight_carat,price_per_carat,weight_sort1,status,tax_class_id,gemstone,gem_composition,shape,certification,return_policy,colour,cut,dimension_type,dispatch_days,gemstone2,vendor,offer_type,origin,product_type,description,short_description,comment_explation,description2,qty,is_in_stock,gemstone3,image,small_image,thumbnail,invoice_id,news_from_date,news_to_date,stickers,callfor,quality_config_gem,redirect_select_for_quality,select_for_quality,mainproduct_forjewlrypage,gemstone2_type,price_per_carat_range,metal_config,ideal_design,price_for_jewelry,promotion_baseprice_jewlery,product_discount_percentage,promotion_discount_price,specific_gravity,refractive_index,show_pricing_table,callfor_price_wanto_show,automatic_video_link,call_for_price_text,calibrated_size_range,beads_size,hole,beads_in_strand,length_inches,quality_grade,strands,dimension_approx,arrangement_type,length_cm,how_to_wear,certificate_number1,verified_certificateimage,verified_certificateimage1,additional_certification,price_range,gemstone_benifits_new,product_category_type
Gemstones,GP13221,Green Amethyst (Prasiolite) - 7.41 Carats,Premium Certified Green Amethyst (Prasiolite) for Astrological Use - 7.41 Carats (GP13221) from Brazil,green-amethyst-gp13221,GP13221,Unheated and Untreated (No Indications Observed),7.41,Green Amethyst,Faceted,13.95x10.45x6.68 mm,Green,7.41 ct Green Amethyst Natural Original Top Quality Lab Certified Gemstone of 7.41 carat,Express Dispatch,4692,8.23,0,71039949,3200.0000,,7.4100,432.0000,741.0000,Enabled,Jewellery Semiprecious,Green Amethyst,Natural,Octagonal,ITLGJ Certified,10 Day Money-Back Returns*,Light Green,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - Green (Prasiolite),GP,Loose Gemstone,Brazil,Single Stone,Natural Green Amethyst weighing 7.41 carats in Octagonal shape,Natural Green Amethyst weighing 7.41 carat  from Brazil,Price Increase by 5% on 23-May-2022(messaged by NITIN SIR on Catalog Whatsaap Group on 13-may-2022)(Relive on 190624)(Relive on 080824) (Out of stock by Own Inventory on 110226),"Buy Natural Amethyst - Green (Prasiolite) 7.41 for sale online, weighing 7.41 carats (roughly 8.23 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (7.41 carat). Green Amethyst has many benefits. This gem is stated to be Unheated and Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",0.0000,0,Amethyst - Green (Prasiolite)-Faceted-Non Calibrated,/g/p/gp13221-1-80824.jpg,/g/p/gp13221-1-80824.jpg,/g/p/gp13221-hand-80824.jpg,,2015-12-15 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,480,2.65,1.540 - 1.550,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,,,,3000,"Deaddiction, Remove Negativity",MP
Gemstones,GP13222,Green Amethyst (Prasiolite) - 6.32 carats,Natural Green Amethyst (Prasiolite) - 6.32 carats (GP13222) from Brazil,green-amethyst-gp13222,GP13222,Unheated and Untreated (No Indications Observed),6.32,Green Amethyst,Faceted,13.26x10.01x6.27 mm,Green,6.32 ct Green Amethyst (Prasiolite) Natural Original Top Quality Lab Certified Gemstone of 6.32 carat (7 ratti) from Brazil,Express Dispatch,4693,7.02,0,71039949,2750.0000,,6.3200,435.0000,632.0000,Enabled,Jewellery Semiprecious,Green Amethyst,Natural,Octagonal,ITLGJ Certified,10 Day Money-Back Returns*,Green,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - Green (Prasiolite),GP,Loose Gemstone,Brazil,Single Stone,Natural Green Amethyst (Prasiolite) weighing 6.32 carat In Octagonal shape.,Natural Green Amethyst (Prasiolite) weighing 6.32 carats (7.02 ratti) from Brazil,Price Increase by 5% on 23-May-2022(messaged by NITIN SIR on Catalog Whatsaap Group on 13-may-2022)(Out of stock by Own Inventory on 190324),"Buy Natural Amethyst - Green (Prasiolite) 1.26 for sale online, weighing 6.32 carats (roughly 7 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (6.32 carat). The stone origin (where it is mined from) is Brazil. The stone is hence popularly also known as . Green Amethyst has many benefits. This gem is stated to be Unheated and Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",0.0000,0,Amethyst - Green (Prasiolite)-Faceted-Non Calibrated,/g/p/gp13222-1-121120.jpg,/g/p/gp13222-1-121120.jpg,/g/p/gp13222-itlgj-certified-291223.jpg,,2015-12-07 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,412.5,2.65,1.540 - 1.550,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,,,,2500,"Deaddiction, Remove Negativity",MP
Gemstones,GP13224,Green Amethyst (Prasiolite) 11 MM - 4.89 Carats,Natural Certified - 4.89 Carats Green Amethyst (Prasiolite) 11 MM (GP13224) from Brazil,green-amethyst-gp13224,GP13224,Unheated and Untreated (No Indications Observed),4.89,Green Amethyst,Faceted,10.98x10.92x5.55 mm,Green,4.89 ct Green Amethyst Natural Original Top Quality Lab Certified Gemstone of 4.89 carat,Express Dispatch,4695,5.43,0,71039949,2250.0000,,4.8900,460.0000,489.0000,Enabled,Jewellery Semiprecious,Green Amethyst,Natural,Square,ITLGJ Certified,10 Day Money-Back Returns*,Light Green,Faceted,Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - Green (Prasiolite),GP,Loose Gemstone,Brazil,Single Stone,Natural Green Amethyst weighing 4.89 carats in Square shape,Natural Green Amethyst weighing 4.89 carat  from Brazil,"Price Increase by 5% on 23-May-2022(messaged by NITIN SIR on Catalog Whatsaap Group on 13-may-2022), Price Update By Shani on 220124 Done by Munna(Relive on 190624)","Buy Natural Amethyst - Green (Prasiolite) 4.89 for sale online, weighing 4.89 carats (roughly 5.43 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (4.89 carat). Green Amethyst has many benefits. This gem is stated to be Unheated and Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",1.0000,1,Amethyst - Green (Prasiolite)-Faceted-Calibrated,/g/p/gp13224-1-190624.jpg,/g/p/gp13224-1-190624.jpg,/g/p/gp13224-hand-190624.jpg,,2015-12-07 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,315,2.65,1.540 - 1.550,No,No,,Call For Price,"11,",",",",",,,",",",",",",,,,SLA358920924,https://www.itlgj.com/searchcertificate.aspx?No=SLA358920924&T=Stone,,,2000,"Deaddiction, Remove Negativity",MP
Gemstones,GP13225,Green Amethyst (Prasiolite) 15x10 MM - 5.04 Carats,Original Certified Green Amethyst (Prasiolite) 15x10 MM for Astrological Use - 5.04 Carats (GP13225) from Brazil,green-amethyst-gp13225,GP13225,Unheated and Untreated (No Indications Observed),5.04,Green Amethyst,Faceted,15.04x9.98x6.72 mm,Green,5.04 ct Green Amethyst Natural Original Top Quality Lab Certified Gemstone of 5.04 carat,Express Dispatch,4696,5.6,0,71039949,2350.0000,,5.0400,466.0000,504.0000,Enabled,Jewellery Semiprecious,Green Amethyst,Natural,Pear,ITLGJ Certified,10 Day Money-Back Returns*,Light Green,Faceted,Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - Green (Prasiolite),GP,Loose Gemstone,Brazil,Single Stone,Natural Green Amethyst weighing 5.04 carats in Pear shape,Natural Green Amethyst weighing 5.04 carat  from Brazil,"Price Increase by 5% on 23-May-2022(messaged by NITIN SIR on Catalog Whatsaap Group on 13-may-2022), Price Update By Shani on 220124 Done by Munna(Relive on 200624)","Buy Natural Amethyst - Green (Prasiolite) 5.04 for sale online, weighing 5.04 carats (roughly 5.6 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (5.04 carat). Green Amethyst has many benefits. This gem is stated to be Unheated and Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",1.0000,1,Amethyst - Green (Prasiolite)-Faceted-Calibrated,/g/p/gp13225-1-200624.jpg,/g/p/gp13225-1-200624.jpg,/g/p/gp13225-hand-200624.jpg,,2015-12-07 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,330,2.65,1.540 - 1.550,No,No,,Call For Price,"15x10,",",",",",,,",",",",",",,,,SLA358920925,https://www.itlgj.com/searchcertificate.aspx?No=SLA358920925&T=Stone,,,2000,"Deaddiction, Remove Negativity",MP
Gemstones,GP20621,Amethyst - 3.41 Carats,Natural Amethyst - 3.41 Carats (GP20621) from Brazil,amethyst-gp20621,GP20621,Unheated and Untreated (No Indications Observed),3.41,Amethyst,Faceted,10.52x8.86x5.01 mm,Violet,3.41 ct Amethyst Natural Original Top Quality Lab Certified Gemstone of carat (3.78 ratti),Express Dispatch,12233,3.78,0,71039949,3100.0000,,3.4100,909.0000,341.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Octagonal,AGR Certified,10 Day Money-Back Returns*,Violet,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Brazil,Single Stone,Natural Amethyst weighing 3.41 carat In Octagonal shape,Natural Amethyst weighing 3.41 carat (3.78 ratti) from Brazil,0 ( Sunny sir Change the price in bulk on 240424 )(Out of stock- wrong format image)(Relive on 140225)(Relive on 180425) (Out of stock by Own Inventory on 260525),"Buy Natural Amethyst - All 3.41 for sale online, weighing carats (roughly 3.78 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (3.41 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",0.0000,0,Amethyst - All-Faceted-Non Calibrated,/g/p/gp20621-1-180425.jpg,/g/p/gp20621-1-180425.jpg,/g/p/gp20621-hand-180425.jpg,Others-Ongoing3@BG#136,2017-02-17 00:00:00,,,No,,0,,,3 - Semi-Precious,500,,,,,,,2.65,1.540 - 1.550,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,,,,3000,"Success in business, Popularity",MP
Gemstones,GP21607,Amethyst - 5.22 carats,Natural Amethyst - 5.22 carats (GP21607) from Africa,amethyst-gp21607,GP21607,Unheated and Untreated (No Indications Observed),5.22,Amethyst,Faceted,,Violet,5.22ct Amethyst (Jamunia) Natural Original Top Quality Lab Certified gemstone of 5.22 carat (5.75 ratti),Express Dispatch,12999,5.8,0,71039949,3130.0000,,5.2200,600.0000,522.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Oval,Free Lab Certificate,10 Day Money-Back Returns*,Violet,Mixed Cuts,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Africa,Single Stone,Beautiful Natural Amethyst weighing 5.22 carat In Oval shape.,Beautiful Natural Amethyst weighing 5.22 carats (5.8 ratti) from Africa,,"Buy Natural Original Amethyst (Jamunia rashi ratna) for sale online, weighing 5.22 carats (roughly 5.75 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (5.22 carat). Amethyst has many benefits. This gem is stated to be Unheated & Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",0.0000,0,Amethyst - All-Faceted-Non Calibrated,/g/p/gp21607-3_1.jpg,/g/p/gp21607-3_1.jpg,/g/p/gp21607-2.jpg,,2016-05-05 00:00:00,,,No,,0,,,3 - Semi-Precious,500,,,,,,375.6,,,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,,,,3000,"Deaddiction, Remove Negativity",MP
Gemstones,GP25821,Amethyst - 17.65 carats,Natural Amethyst - 17.65 carats (GP25821) from Africa,amethyst-gp25821,GP25821,Unheated and Untreated (No Indications Observed),17.65,Amethyst,Faceted,,Violet,17.65ct Amethyst (Jamunia) Natural Original Top Quality Lab Certified gemstone of 17.65 carat (19.5 ratti),Express Dispatch,17245,19.61,0,71039949,10590.0000,5295.0000,17.6500,600.0000,1765.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Oval,Free Lab Certificate,10 Day Money-Back Returns*,Violet,Mixed Cuts,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Africa,Single Stone,Beautiful Natural Amethyst weighing 17.65 carat In Oval shape.,Original Natural Amethyst weighing 17.65 carats (19.61 ratti) from Africa,,"Buy Natural Original Amethyst (Jamunia rashi ratna) for sale online, weighing 17.65 carats (roughly 19.5 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (17.65 carat). Amethyst has many benefits. This gem is stated to be Unheated & Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",0.0000,0,Amethyst - All-Faceted-Non Calibrated,/g/p/gp25821-1_1.jpg,/g/p/gp25821-1_1.jpg,/g/p/gp25821-hand.jpg,PR-Ongoing5@PR#192,2017-02-21 00:00:00,,,No,,0,,,3 - Semi-Precious,500,,,,,,1270.8,2.65,1.540 - 1.550,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,,,,10500,"Deaddiction, Remove Negativity",MP
Gemstones,GP27817,Amethyst - 3.24 carats,Natural Amethyst - 3.24 carats (GP27817) from Africa,amethyst-gp27817,GP27817,Unheated and Untreated (No Indications Observed),3.24,Amethyst,Faceted,,Violet,3.24 ct Amethyst (Jamunia) Natural Original Top Quality Lab Certified Gemstone of 3.24 carat (3.6 ratti) from Africa,Express Dispatch,19208,3.6,0,71039949,770.0000,,3.2400,238.0000,324.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Oval,JBN Certified,10 Day Money-Back Returns*,Violet,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Africa,Single Stone,Natural Amethyst weighing 3.24 carat In Oval shape.,Natural Amethyst weighing 3.24 carats (3.6 ratti) from Africa,"Update carat wt on 07-Aug-2019, Product Relived by Pawan Sir on Aug-06-2021","Buy Natural Original Amethyst (Jamunia rashi ratna) for sale online, weighing 2.56 carats (roughly 2.75 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (2.56 carat). The stone is hence popularly also known as Amethyst, Jamunia. The stone origin (where it is mined from) is Africa. The stone is hence popularly also known as Amethyst, Jamunia.Amethyst has many benefits. This gem is stated to be Unheated & Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",-1.0000,0,Amethyst - All-Faceted-Non Calibrated,/g/p/gp27817-1-121120.jpg,/g/p/gp27817-1-121120.jpg,/g/p/gp27817-hand-121120.jpg,2037d,2017-06-02 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,92.4,2.65,1.54-1.55,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,http://www.jbngemtestinglab.com/,,,500,"Deaddiction, Remove Negativity",MP
Gemstones,GP27833,Amethyst - 3.95 carats,Natural Amethyst - 3.95 carats (GP27833) from Africa,amethyst-gp27833,GP27833,Unheated and Untreated (No Indications Observed),3.95,Amethyst,Faceted,11x11x6.40 mm,Violet,3.95 ct Amethyst (Jamunia) Natural Original Top Quality Lab Certified Gemstone of 3.95 carat (4.25 ratti) from Africa,Express Dispatch,19224,4.39,0,71039949,1650.0000,,3.9500,418.0000,395.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Pear,JBN Certified,10 Day Money-Back Returns*,Violet,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Africa,Single Stone,Natural Amethyst weighing 3.95 carat In Pear shape.,Original Natural Amethyst weighing 3.95 carats (4.39 ratti) from Africa,,"Buy Natural Original Amethyst (Jamunia rashi ratna) for sale online, weighing 3.95 carats (roughly 4 ratti). The cost price of the stone is provided and its price per carat can be calculated by dividing the cost price by stone weight (3.95 carat). The stone is hence popularly also known as Amethyst, Jamunia. The stone origin (where it is mined from) is Africa. The stone is hence popularly also known as Amethyst, Jamunia.Amethyst has many benefits. This gem is stated to be Unheated & Untreated. The value of the stone is good considering its properties and effects. This gem is certified and its photos, video and lab certificate are available on our online store.",-2.0000,0,Amethyst - All-Faceted-Non Calibrated,/2/7/27833-1-190820.jpg,/2/7/27833-1-190820.jpg,/2/7/27833-hand-190820.jpg,2037d,2017-06-02 00:00:00,,,No,,0,,,3 - Semi-Precious,0,,,,,,0,,,No,No,,Call For Price,",",",",",",,,",",",",",",,,,,http://www.jbngemtestinglab.com/,,,1500,"Deaddiction, Remove Negativity",MP
Gemstones,GP28062,Amethyst - 17.34 Carats,Natural Certified Amethyst (Jamunia) - 17.34 Carats (GP28062) from Brazil,amethyst-gp28062,GP28062,Unheated and Untreated (No Indications Observed),17.34,Amethyst,Faceted,17.95x13.95x10.55 mm,Violet,17.34 ct Amethyst (Jamunia) Natural Original Top Quality Lab Certified Gemstone of 17.34 carat (19.25 ratti) from Brazil,Express Dispatch,19453,19.27,0,71039949,10400.0000,,17.3400,600.0000,1734.0000,Enabled,Jewellery Semiprecious,Amethyst,Natural,Oval,JBN Certified,10 Day Money-Back Returns*,Violet,Faceted,Not Calibrated,0 Business Days (+5 days for typical Jewellery; +14 days for Bracelet/Gold/CZ/Diamond Items),Amethyst - All,GP,Loose Gemstone,Brazil,Single Stone,Natural Amethyst weighing 17.34 carats in Oval shape.,Natural Amethyst weighing 17.34 carats (19.27 ratti) from Brazil,"Price Increase by 5% on 23-May-2022(messaged by NITIN SIR on Catalog Whatsaap Group on 13-may-2022)(Relive on 281223), Price update on 18-03-2025 done by Munna, Price update on 20-03-2025 done by Munna","Buy Natural Amethyst - All 17.34 for sale online, weighing carats (roughly 19.27 ratti). The cost price of the stone is provided and its per carat can be calculated by dividing weight (17.34 carat). has many benefits. This gem stated to Unheated Untreated. value good considering properties effects. certified photos, video lab certificate are available on our online store.",1.0000,1,Amethyst - All-Faceted-Non Calibrated,/g/p/gp28062-1-281223.jpg,/g/p/gp28062-1-281223.jpg,/g/p/gp28062-hand-281223.jpg,2026o,2017-06-06 00:00:00,,,No,,0,,,3 - Semi-Precious,500,,,,,,1125,2.65,1.54-1.55,No,No,,Call For Price,",",",",",",,,",",",",",",,,1---_____0001ame_____-------thyst001.pdf,JBNGTL/829/18,http://www.jbngemtestinglab.com/,,,10000,"Deaddiction, Remove Negativity",MP
